Run,Std_Dev_s,Avg_Turn_s,Throughput_tps,Avg_Latency_s,Avg_Context_Switches,Total_Context_Switches
Run 01 (Warm-up),0.0112,128.4852,0.1557,121.8987,309.2,6184
Run 02,0.0349,128.4408,0.1557,121.7821,308.8,6177
Run 03,0.0926,128.4122,0.1557,121.7947,308.9,6178
Run 04,0.0005,128.4692,0.1557,121.81,308.9,6178
Run 05,0.1164,128.3923,0.1557,121.8028,309.0,6180
