Run,Std_Dev_s,Avg_Turn_s,Throughput_tps,Avg_Latency_s,Avg_Context_Switches,Total_Context_Switches
Run 01 (Warm-up),0.3053,128.3012,0.1556,118.3603,309.0,6181
Run 02,0.3383,128.2685,0.1557,118.299,309.5,6190
Run 03,0.9679,128.2257,0.1557,118.6393,309.1,6182
Run 04,0.4595,128.225,0.1557,118.8434,309.4,6188
Run 05,0.2445,128.2156,0.1557,117.6238,309.2,6185
