Run,Std_Dev_s,Avg_Turn_s,Throughput_tps,Avg_Latency_s,Avg_Context_Switches,Total_Context_Switches
Run 01 (Warm-up),0.0014,128.7091,0.1554,122.2459,1850.1,37002
Run 02,0.0019,128.6913,0.1554,122.2336,1850.9,37018
Run 03,0.0048,128.688,0.1554,122.2395,1852.4,37049
Run 04,0.0051,128.6945,0.1554,122.2457,1851.8,37037
Run 05,0.0031,128.69,0.1554,122.2381,1852.7,37054
