Run,Std_Dev_s,Avg_Turn_s,Throughput_tps,Avg_Latency_s,Avg_Context_Switches,Total_Context_Switches
Run 01 (Warm-up),0.0411,32.1713,3.0982,19.1463,616.3,61626
Run 02,0.0604,32.1351,3.1023,19.1225,616.2,61619
Run 03,0.1144,32.086,3.0876,18.9515,614.4,61441
Run 04,0.1152,32.0784,3.0972,18.985,614.9,61488
Run 05,0.0838,32.1039,3.0997,19.0597,615.8,61576
