Run,Std_Dev_s,Avg_Turn_s,Throughput_tps,Avg_Latency_s,Avg_Context_Switches,Total_Context_Switches
Run 01 (Warm-up),0.3056,32.56,3.0584,18.1902,3917.9,391789
Run 02,0.6294,32.5286,3.0544,16.9964,3642.5,364250
Run 03,0.4167,32.3839,3.0752,17.6961,3815.2,381522
Run 04,0.7131,32.6176,3.0268,17.4838,3776.6,377659
Run 05,0.6038,32.5661,3.0384,17.6572,3792.6,379256
